IA,DALLAS,Dallas-URBANDALE 14,4
IA,DALLAS,Dallas-URBANDALE 15,2
IA,DALLAS,Dallas-VAN METER,4
IA,DALLAS,Dallas-WALNUT / GRIMES / GRANT,4
IA,DALLAS,Dallas-WAUKEE 1,6
IA,DALLAS,Dallas-WAUKEE 2,3
IA,DALLAS,Dallas-WAUKEE 3,5
IA,DALLAS,Dallas-WAUKEE 4,4
IA,DALLAS,Dallas-WAUKEE 5,2
IA,DALLAS,Dallas-WAUKEE 6,3
IA,DALLAS,Dallas-WEST DES MOINES 221,6
IA,DALLAS,Dallas-WEST DES MOINES 222,4
IA,DALLAS,Dallas-WEST DES MOINES 223,4
IA,DALLAS,Dallas-WEST DES MOINES 224,1
IA,DALLAS,Dallas-WEST DES MOINES 225,6
IA,DALLAS,Dallas-WEST DES MOINES 226,3
IA,DALLAS,Dallas-WEST DES MOINES 321,2
IA,DALLAS,Dallas-WEST DES MOINES 322,2
IA,GUTHRIE,Guthrie-Black,5
IA,GUTHRIE,Guthrie-Blue,13
IA,GUTHRIE,Guthrie-Brown,4
IA,GUTHRIE,Guthrie-Gold,12
IA,GUTHRIE,Guthrie-Green,7
IA,GUTHRIE,Guthrie-Purple,13
IA,GUTHRIE,Guthrie-Red,4
IA,GUTHRIE,Guthrie-White,2
IA,JASPER,Jasper-Colfax Ward 1,4
IA,JASPER,Jasper-Colfax Ward 2,5
IA,JASPER,Jasper-Colfax Ward 3,4
IA,JASPER,Jasper-Clear Creek/Poweshiek,9
IA,JASPER,Jasper-Des Moines,11
IA,JASPER,Jasper-Elk Creek/Lynngrove,4
IA,JASPER,Jasper-Fairview,12
IA,JASPER,Jasper-HG/K/RC/BV/RL,16
IA,JASPER,Jasper-Indep/Malaka/Mariposa,12
IA,JASPER,Jasper-Mound Prairie/Washington,7
IA,JASPER,Jasper-Newton/Sherman,13
IA,JASPER,Jasper-Newton 1-1,13
IA,JASPER,Jasper-Newton 1-2,11
IA,JASPER,Jasper-Newton 2-1,14
IA,JASPER,Jasper-Newton 2-2,10
IA,JASPER,Jasper-Newton 3-1,14
IA,JASPER,Jasper-Newton 3-2,11
IA,JASPER,Jasper-Newton 4-1,15
IA,JASPER,Jasper-Newton 4-2,10
IA,JASPER,Jasper-Palo Alto,5
IA,MADISON,Madison-Grand River-Monroe-Webster,3
IA,MADISON,Madison-Jackson-Douglas-Lincoln,5
IA,MADISON,Madison-Jefferson-Lee,5
IA,MADISON,Madison-Penn-Madison,7
IA,MADISON,Madison-South,6
IA,MADISON,Madison-Union-Crawford-Scott,8
IA,MADISON,Madison-Walnut-Ohio,5
IA,MADISON,Madison-Winterset 1,10
IA,MADISON,Madison-Winterset 2,11
IA,MARION,Marion-Clay,2
IA,MARION,Marion-Dallas,7
IA,MARION,Marion-Indiana Township,3
IA,MARION,Marion-Knoxville One,7
IA,MARION,Marion-Knoxville Two,7
IA,MARION,Marion-Knoxville Three,9
IA,MARION,Marion-Knoxville Four,5
IA,MARION,Marion-Knoxville Township,10
IA,MARION,Marion-Liberty,3
IA,MARION,Marion-Lake Prairie Township,4
IA,MARION,Marion-Otley,5
IA,MARION,Marion-Pella One,6
IA,MARION,Marion-Pella Two,6
IA,MARION,Marion-Pella Three,7
IA,MARION,Marion-Pella Four,5
IA,MARION,Marion-Pleasantville,12
IA,MARION,Marion-Washington Township,2
IA,POLK,Polk-ALLEMAN-1,2
IA,POLK,Polk-ALLEN-1,1
IA,POLK,Polk-BONDURANT-1,5
IA,POLK,Polk-BONDURANT-2,5
IA,POLK,Polk-CLAY-1,3
IA,POLK,Polk-CLIVE-1,5
IA,POLK,Polk-CLIVE-2,7
IA,POLK,Polk-CLIVE-3,9
IA,POLK,Polk-CLIVE-4,7
IA,POLK,Polk-CROCKER-1,6
IA,POLK,Polk-CROCKER-2,3
IA,POLK,Polk-DELAWARE-1,7
IA,POLK,Polk-DELAWARE-2,2
IA,POLK,Polk-DOUGLAS-1,2
IA,POLK,Polk-ELKHART-1,3
IA,POLK,Polk-FOUR MILE-1,6
IA,POLK,Polk-FRANKLIN-1,3
IA,POLK,Polk-GRANGER-1,1
